date,weatherDay,weatherNight,minTemp,maxTemp,windDay,windNight
2014年01月01日,晴,晴,-4,10,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月02日,晴,晴,-2,8,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月03日,晴,晴,-5,9,北风 3-4级,无持续风向 ≤3级
2014年01月04日,多云,多云,-3,3,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月05日,晴,阴,-4,6,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月06日,阴,阴,-3,2,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月07日,多云,多云,-5,6,北风 3-4级,北风 3-4级
2014年01月08日,晴,晴,-9,0,北风 3-4级,无持续风向 ≤3级
2014年01月09日,晴,晴,-9,1,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月10日,晴,晴,-8,4,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月11日,晴,晴,-5,4,无持续风向 ≤3级,北风 3-4级
2014年01月12日,晴,晴,-9,2,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月13日,晴,晴,-7,2,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月14日,晴,晴,-7,4,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月15日,晴,阴,-4,3,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月16日,霾,小雪,-4,5,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月17日,多云,晴,-6,4,北风 3-4级,无持续风向 ≤3级
2014年01月18日,晴,多云,-4,6,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月19日,阴,晴,-4,6,北风 4-5级,北风 4-5级
2014年01月20日,晴,晴,-5,3,北风 4-5级,北风 3-4级
2014年01月21日,晴,晴,-6,5,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月22日,晴,多云,-4,5,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月23日,多云,多云,-3,4,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月24日,多云,多云,-3,8,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月25日,晴,多云,-5,8,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月26日,晴,多云,-5,4,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月27日,晴,晴,-5,10,北风 3-4级,无持续风向 ≤3级
2014年01月28日,晴,晴,-5,6,南风 3-4级,无持续风向 ≤3级
2014年01月29日,多云,多云,-2,5,无持续风向 ≤3级,无持续风向 ≤3级
2014年01月30日,晴,晴,-4,7,无持续风向 ≤3级,无持续风向 ≤3级
