rank,title,score,comments,quote
1,肖申克的救赎,9.7,3081748,希望让人自由。
2,霸王别姬,9.6,2275038,风华绝代。
3,阿甘正传,9.5,2294331,一部美国近现代史。
4,泰坦尼克号,9.5,2334683,失去的才是永恒的。 
5,千与千寻,9.4,2383154,最好的宫崎骏，最好的久石让。 
6,美丽人生,9.5,1402386,最美的谎言。
7,这个杀手不太冷,9.4,2426021,怪蜀黍和小萝莉不得不说的故事。
8,星际穿越,9.4,2006344,爱是一种力量，让我们超越时空感知它的存在。
9,盗梦空间,9.4,2194586,诺兰给了我们一场无法盗取的梦。
10,楚门的世界,9.4,1864206,如果再也不能见到你，祝你早安，午安，晚安。
11,辛德勒的名单,9.5,1185719,拯救一个人，就是拯救整个世界。
12,忠犬八公的故事,9.4,1467698,永远都不能忘记你所爱的人。
13,海上钢琴师,9.3,1771773,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,9.2,1964716,英俊版憨豆，高情商版谢耳朵。
15,放牛班的春天,9.3,1393398,天籁一般的童声，是最接近上帝的存在。 
16,机器人总动员,9.3,1398533,小瓦力，大人生。
17,疯狂动物城,9.2,2092249,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
18,无间道,9.3,1465276,香港电影史上永不过时的杰作。
19,控方证人,9.6,638389,比利·怀德满分作品。
20,大话西游之大圣娶亲,9.2,1619524,一生所爱。
21,熔炉,9.3,985683,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22,教父,9.3,1036220,千万不要记恨你的对手，这样会让你失去理智。
23,触不可及,9.3,1206715,满满温情的高雅喜剧。
24,寻梦环游记,9.1,1819579,死亡不是真的逝去，遗忘才是永恒的消亡。
25,当幸福来敲门,9.2,1604614,平民励志片。 
26,末代皇帝,9.3,958496,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
27,龙猫,9.2,1340279,人人心中都有个龙猫，童年就永远不会消失。
28,哈利·波特与魔法石,9.2,1309304,童话世界的开端。
29,怦然心动,9.1,1942525,真正的幸福是来自内心深处。
30,活着,9.3,910477,张艺谋最好的电影。
31,蝙蝠侠：黑暗骑士,9.2,1129995,无尽的黑暗。
32,指环王3：王者无敌,9.3,857028,史诗的终章。
33,我不是药神,9.0,2229830,对我们国家而言，这样的电影多一部是一部。
34,乱世佳人,9.3,738628,Tomorrow is another day.
35,飞屋环游记,9.1,1410996,最后那些最无聊的事情，才是最值得怀念的。 
36,素媛,9.3,733124,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
37,哈尔的移动城堡,9.1,1184867,带着心爱的人在天空飞翔。
38,让子弹飞,9.0,1809957,你给我翻译翻译，神马叫做TMD的惊喜。
39,十二怒汉,9.4,536040,1957年的理想主义。 
40,何以为家,9.1,1108702,凝视卑弱生命，用电影改变命运。
41,海蒂和爷爷,9.3,698014,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
42,猫鼠游戏,9.1,1118795,骗子大师和执著警探的你追我跑故事。 
43,摔跤吧！爸爸,9.0,1655584,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
44,天空之城,9.2,947770,对天空的追逐，永不停止。 
45,鬼子来了,9.3,670456,对敌人的仁慈，就是对自己残忍。
46,少年派的奇幻漂流,9.1,1420579,瑰丽壮观、无人能及的冒险之旅。
47,钢琴家,9.3,696903,音乐能化解仇恨。
48,指环王2：双塔奇兵,9.2,805506,承前启后的史诗篇章。
49,大话西游之月光宝盒,9.0,1289973,旷古烁今。
50,闻香识女人,9.1,956531,史上最美的探戈。
51,死亡诗社,9.2,803354,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
52,绿皮书,8.9,1769979,去除成见，需要勇气。
53,大闹天宫,9.4,473780,经典之作，历久弥新。
54,罗马假日,9.1,998797,爱情哪怕只有一天。
55,黑客帝国,9.1,892034,视觉革命。
56,指环王1：护戒使者,9.1,903755,传说的开始。
57,教父2,9.3,595579,优雅的孤独。
58,天堂电影院,9.2,710730,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
59,狮子王,9.1,903987,动物版《哈姆雷特》。
60,辩护人,9.2,627123,电影的现实意义大过电影本身。
61,饮食男女,9.2,669566,人生不能像做菜，把所有的料都准备好了才下锅。
62,搏击俱乐部,9.0,907922,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
63,本杰明·巴顿奇事,9.0,1046993,在时间之河里感受溺水之苦。
64,美丽心灵,9.1,815174,爱是一切逻辑和原由。
65,穿条纹睡衣的男孩,9.2,607041,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
66,窃听风暴,9.2,601582,别样人生。
67,情书,8.9,1204768,暗恋的极致。
68,两杆大烟枪,9.1,636881,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
69,音乐之声,9.1,643933,用音乐化解仇恨，让歌声串起美好。
70,看不见的客人,8.8,1361165,你以为你以为的就是你以为的。
71,西西里的美丽传说,8.9,1038699,美丽无罪。
72,哈利·波特与死亡圣器(下),9.0,896700,10年的完美句点。
73,阿凡达,8.8,1497672,绝对意义上的美轮美奂。
74,拯救大兵瑞恩,9.1,686994,美利坚精神输出大片No1.
75,功夫,8.9,1235719,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
76,小鞋子,9.2,438127,奔跑的孩子是天使。
77,飞越疯人院,9.1,577097,自由万岁。
78,哈利·波特与阿兹卡班的囚徒,9.0,815262,不一样的导演，不一样的哈利·波特。
79,沉默的羔羊,8.9,956351,安东尼·霍普金斯的顶级表演。
80,布达佩斯大饭店,8.9,1015892,小清新的故事里注入了大历史的情怀。
81,蝴蝶效应,8.9,1003681,人的命运被自己瞬间的抉择改变。
82,禁闭岛,8.9,1048104,昔日翩翩少年，今日大腹便便。
83,致命魔术,8.9,915714,孪生蝙蝠侠大战克隆金刚狼。
84,心灵捕手,9.0,771268,人生中应该拥有这样的一段豁然开朗。
85,超脱,9.0,667983,穷尽一生，我们要学会的，不过是彼此拥抱。
86,低俗小说,8.9,899128,故事的高级讲法。
87,摩登时代,9.3,324655,大时代中的人生，小人物的悲喜。
88,喜剧之王,8.8,1030575,我是一个演员。
89,春光乍泄,9.0,673036,爱情纠缠，男女一致。
90,海豚湾,9.3,370915,海豚的微笑，是世界上最高明的伪装。
91,致命ID,8.9,889435,最不可能的那个人永远是最可能的。
92,杀人回忆,8.9,778676,关于连环杀人悬案的集体回忆。
93,哈利·波特与密室,8.9,842390,魔法的密室之门已打开...
94,美国往事,9.1,443941,往事如烟，无处祭奠。
95,一一,9.1,445579,我们都曾经是一一。
96,红辣椒,9.1,520713,梦的勾结。
97,加勒比海盗,8.8,915248,约翰尼·德普的独角戏。
98,七宗罪,8.8,999344,警察抓小偷，老鼠玩死猫。
99,唐伯虎点秋香,8.7,1153921,华太师是黄霑，吴镇宇四大才子之一。
100,狩猎,9.1,429536,人言可畏。
101,7号房的礼物,8.9,591283,《我是山姆》的《美丽人生》。
102,蝙蝠侠：黑暗骑士崛起,8.9,770162,诺兰就是保证。
103,甜蜜蜜,8.9,618386,相逢只要一瞬间，等待却像是一辈子。
104,被嫌弃的松子的一生,8.8,741060,以戏谑来戏谑戏谑。
105,爱在黎明破晓前,8.8,742484,缘分是个连绵词，最美不过一瞬。
106,超能陆战队,8.8,1082602,Balalala~~~
107,第六感,8.9,598092,深入内心的恐怖，出人意料的结局。
109,重庆森林,8.8,869564,寂寞没有期限。
110,入殓师,8.9,710336,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
111,爱在日落黄昏时,8.9,608931,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
112,请以你的名字呼唤我,8.8,777209,沉醉在电影的情感和视听氛围中无法自拔。
113,幽灵公主,8.9,561076,人与自然的战争史诗。
114,剪刀手爱德华,8.7,1081527,浪漫忧郁的成人童话。
115,断背山,8.8,744900,每个人心中都有一座断背山。
116,勇敢的心,8.9,582854,史诗大片的典范。
117,菊次郎的夏天,8.9,638342,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
118,借东西的小人阿莉埃蒂,8.9,593106,曾经的那段美好会沉淀为一辈子的记忆。
119,未麻的部屋,9.1,386296,好的剧本是，就算你猜到了结局也猜不到全部。
120,消失的爱人,8.7,1020213,年度最佳date movie。
121,无人知晓,9.1,350035,我的平常生活就是他人的幸福。
123,时空恋旅人,8.8,734117,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
124,倩女幽魂,8.8,779859,两张绝世的脸。 
125,完美的世界,9.1,339652,坏人的好总是比好人的好来得更感人。
126,阳光灿烂的日子,8.8,655191,一场华丽的意淫。
128,小森林 夏秋篇,9.0,450568,那些静得只能听见呼吸的日子里，你明白孤独即生活。
129,天使爱美丽,8.7,989351,法式小清新。 
130,侧耳倾听,8.9,495388,少女情怀总是诗。
131,驯龙高手,8.8,805852,和谐的生活离不开摸头与被摸头。
132,头脑特工队,8.8,720516,愿我们都不用长大，每一座城堡都能永远存在。
133,新世界,8.9,487165,要做就做得狠一点，这样才能活下去。
134,教父3,9.0,404096,任何信念的力量，都无法改变命运。
135,怪兽电力公司,8.8,724316,不要给它起名字，起了名字就有感情了。
136,傲慢与偏见,8.7,862971,爱是摈弃傲慢与偏见之后的曙光。
137,一个叫欧维的男人决定去死,8.9,524914,惠及一生的美丽。
138,幸福终点站,8.8,608403,有时候幸福需要等一等。 
139,玩具总动员3,8.9,556437,跨度十五年的欢乐与泪水。
140,小森林 冬春篇,9.0,400649,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
141,色，戒,8.7,891401,假戏真情，爱欲深海
142,被解救的姜戈,8.8,651606,热血沸腾，那个低俗、性感的无耻混蛋又来了。
143,釜山行,8.6,1277086,揭露人性的丧尸题材力作。
144,神偷奶爸,8.7,1000546,Mr. I Don't Care其实也有Care的时候。
145,萤火之森,8.8,577220,触不到的恋人。
147,哪吒闹海,9.2,279373,想你时你在闹海。
148,告白,8.8,708177,没有一人完全善，也没有一人完全恶。
149,喜宴,9.0,397183,中国家庭的喜怒哀乐忍。
150,玛丽和马克思,9.0,439547,你是我最好的朋友，你是我唯一的朋友 。
151,模仿游戏,8.8,688874,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
152,花样年华,8.8,660753,偷情本没有这样美。
153,头号玩家,8.6,1442365,写给影迷，动漫迷和游戏迷的一封情书。
154,大鱼,8.8,599061,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
155,七武士,9.3,214956,时代悲歌。
156,射雕英雄传之东成西就,8.7,679872,百看不厌。 
157,惊魂记,9.0,327435,故事的反转与反转，分裂电影的始祖。
158,我是山姆,9.0,358425,爱并不需要智商 。
159,血战钢锯岭,8.7,821744,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
160,阳光姐妹淘,8.8,613767,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
161,恐怖直播,8.7,694260,恐怖分子的“秋菊打官司”。
162,你的名字。,8.5,1511440,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
163,黑客帝国3：矩阵革命,8.8,473045,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
164,三块广告牌,8.7,873465,怼天怼地，你走后，她与世界为敌。
165,心迷宫,8.8,573010,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
166,电锯惊魂,8.7,575108,真相就在眼前。
167,达拉斯买家俱乐部,8.8,481387,Jared Leto的腿比女人还美！
169,疯狂原始人,8.7,882487,老少皆宜，这就是好莱坞动画的魅力。
170,谍影重重3,8.8,444597,像吃了苏打饼一样干脆的电影。
173,上帝之城,9.0,318237,被上帝抛弃了的上帝之城。
174,绿里奇迹,8.9,361715,天使暂时离开。
175,爱在午夜降临前,8.9,439518,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
176,海街日记,8.8,487179,是枝裕和的家庭习作。
177,英雄本色,8.6,575620,英雄泪短，兄弟情长。 
178,风之谷,8.9,375638,动画片的圣经。
180,疯狂的石头,8.6,877655,中国版《两杆大烟枪》。
181,纵横四海,8.8,452520,香港浪漫主义警匪动作片的巅峰之作。
182,2001太空漫游,8.9,364405,现代科幻电影的开山之作，最伟大导演的最伟大影片。
183,雨中曲,9.1,247838,骨灰级歌舞片。
184,卢旺达饭店,8.9,350494,当这个世界闭上双眼，他却敞开了怀抱。
185,记忆碎片,8.7,638593,一个针管引发的血案。
186,小偷家族,8.7,859175,我们组成了家。
187,无敌破坏王,8.7,578976,迪士尼和皮克斯拿错剧本的产物。
188,岁月神偷,8.7,595443,岁月流逝，来日可追。
189,冰川时代,8.6,653279,松鼠才是角儿。
190,牯岭街少年杀人事件,8.9,336106,弱者送给弱者的一刀。
191,荒蛮故事,8.8,471548,始于荒诞，止于更荒诞。
192,忠犬八公物语,9.2,207907,养狗三日，便会对你终其一生。
193,恐怖游轮,8.5,931850,不要企图在重复中寻找已经失去的爱。
194,爆裂鼓手,8.7,629955,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
195,魔女宅急便,8.7,494870,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
197,末路狂花,9.0,300642,没有了退路，只好飞向自由。
198,大佛普拉斯,8.7,513194,人们可以登上月球，却永远无法探索人们内心的宇宙。
199,遗愿清单,8.7,501321,用剩余不多的时间，去燃烧整个生命。
200,贫民窟的百万富翁,8.6,779757,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
201,东邪西毒,8.6,606464,电影诗。
202,你看起来好像很好吃,8.9,353978,感情不分食草或者食肉。
203,源代码,8.5,882199,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
204,可可西里,8.9,325309,坚硬的信仰。
205,疯狂的麦克斯4：狂暴之路,8.7,584258,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
207,城市之光,9.3,159805,永远的小人物，伟大的卓别林。
208,海边的曼彻斯特,8.6,602472,我们都有权利不与自己的过去和解。
209,黑天鹅,8.6,814855,黑暗之美。
212,真爱至上,8.5,771529,爱，是个动词。
214,青蛇,8.6,559918,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
215,雨人,8.7,425460,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
216,初恋这件小事,8.5,1017540,黑小鸭速效美白记。
