title,image,url
建久安之势 成长治之业 行固本之举——延边州筑牢新时代边疆民族地区平安基石,http://www.ybrbnews.cn/image/2025-07/17/ffe3c5bb-92ba-4488-9066-50250ecf8223.png,http://www.ybrbnews.cn/content/2025-07/17/142_727300.html
边疆治理谱新篇 兴边富民绘新景——延边州深入实施兴边富民工程纪实,http://www.ybrbnews.cn/image/2025-07/17/adc22ac5-ba5c-4001-8e30-563d245289e6.png,http://www.ybrbnews.cn/content/2025-07/17/142_727299.html
评论 | 共绘家国万里同春的盛世华章,http://www.ybrbnews.cn/image/2025-07/17/4eae1044-695c-4394-8f75-c10adb7dacdf.jpg,http://www.ybrbnews.cn/content/2025-07/17/142_727298.html
感恩奋进十年路 踔厉同心谱新篇 | 民生篇,http://www.ybrbnews.cn/image/2025-07/17/f38be0d6-0c0a-43f2-9c52-a4f8fe51215e.jpg,http://www.ybrbnews.cn/content/2025-07/17/142_727297.html
这份民生答卷，写满“幸福”——全州民生事业高质量发展综述,http://www.ybrbnews.cn/image/2025-07/17/80e61971-4169-4edd-b31b-5cc282e23215.jpg,http://www.ybrbnews.cn/content/2025-07/17/142_727296.html
牢记嘱托 同心筑梦 全州美术书法摄影作品展开展,http://www.ybrbnews.cn/image/2025-07/17/88d945f0-e84f-4901-ac09-9ac7a79628ff.jpg,http://www.ybrbnews.cn/content/2025-07/17/142_727290.html
省“长寿杯”老年人门球交流活动在延吉市举行,http://www.ybrbnews.cn/image/2025-07/17/054f8212-c4be-4ab2-b6df-969b39aace7e27361e39-1dc5-4d92-a8ec-a75986a04833.jpeg,http://www.ybrbnews.cn/content/2025-07/17/142_727289.html
州总工会暑假爱心托管班开班 工会帮忙带娃 职工放心上班,http://www.ybrbnews.cn/image/2025-07/17/a6866c74-7dbb-4836-bc69-f200c3204ae9.png,http://www.ybrbnews.cn/content/2025-07/17/142_727288.html
切莫轻视对手  主场九连胜可期——延边龙鼎可喜安队主场迎战青岛红狮队比赛前瞻,http://www.ybrbnews.cn/image/2025-07/17/52dd96b0-e5a4-4a0b-adbe-cf8109980494bc18db9d-2db0-4708-b1e6-0e6e97cfa1a7.jpeg,http://www.ybrbnews.cn/content/2025-07/17/142_727287.html
延边博物馆举办“博物馆里话铸牢·少年共绘美好家园”主题绘画活动——稚笔同绘石榴籽 童心共筑一家亲,http://www.ybrbnews.cn/image/2025-07/17/aac09c5a-7381-447e-8a55-f2b8d4483ed0.png,http://www.ybrbnews.cn/content/2025-07/17/142_727284.html
我州发布2025年延边一中延边二中录取分数线,http://www.ybrbnews.cn/image/2025-07/17/c9e52042-8268-48ca-a7c8-3e43a3272e0914302b47-d8cb-486c-8a91-85886380de08.jpg,http://www.ybrbnews.cn/content/2025-07/17/142_727283.html
我州发布2025年延吉市普通高中录取分数线,http://www.ybrbnews.cn/image/2025-07/17/c9e52042-8268-48ca-a7c8-3e43a3272e0914302b47-d8cb-486c-8a91-85886380de08.jpg,http://www.ybrbnews.cn/content/2025-07/17/142_727282.html
幸福光东展新颜,http://www.ybrbnews.cn/image/2025-07/17/79d80aa9-c436-4e76-92ac-5f2c9521d1f1.jpg,http://www.ybrbnews.cn/content/2025-07/17/142_727281.html
“感恩十年奋进路  逐梦扬帆新征程”主题活动暨延吉市“工匠精神”宣讲报告会举行,http://www.ybrbnews.cn/image/2025-07/17/5f15b141-6d7c-4aab-9ac1-6a812aba43c6.jpg,http://www.ybrbnews.cn/content/2025-07/17/142_727280.html
闪光的印记 延边十年来获得的代表性荣誉,http://www.ybrbnews.cn/image/2025-07/16/df752e94-ca1e-4754-a32b-eabe7ccba912.png,http://www.ybrbnews.cn/content/2025-07/16/142_727125.html
巷陌中的温暖灯火,http://www.ybrbnews.cn/image/2025-07/16/4dbba64e-2b6f-4ba0-9398-414115b8be3d.png,http://www.ybrbnews.cn/content/2025-07/16/142_727124.html
